Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
158,Фрайбург,Штутгарт,Тобиас Стилер,3.1,3.6,2.2,32,2,1,657,2096,-1439,40,60,20,12,2,0,324,474,71,59,17,30,11,25,52,65,18,17,16,9,3,5,12,7,142,157,10,25,5,9,10,13,0,12,3-4-3,6.86,3-4-2-1,6.89,8.81,8.16,,,4.142857142857143,27.857142857142858,10.88888888888889,12.176470588235292,12.88888888888889,12.235294117647058
159,Герта,Бремен,Даниэль Шлагер,2.1,3.3,3.6,28,1,2,2232,387,1845,66,34,16,12,2,3,527,280,53,61,42,7,27,6,47,70,15,29,5,21,7,1,7,15,161,129,18,7,10,5,12,4,6,3,4-3-3,6.81,3-5-2,6.79,6.45,16.18,,,4.166666666666667,27.83333333333333,13.375,15.470588235294118,12.22222222222222,12.352941176470589
160,Шальке 04,Бавария М.,Саша Стегеманн,15.0,8.0,1.17,14,0,1,354,2721,-2367,40,60,5,9,1,1,363,532,56,44,13,28,32,26,61,57,14,16,22,22,3,7,9,14,133,133,13,31,3,13,8,23,5,8,4-2-3-1,6.64,4-2-3-1,7.05,26.2,5.26,,,3.125,25.75,13.22222222222222,13.117647058823527,9.333333333333334,9.588235294117649
161,Хоффенхайм,Кельн,Свен Яблонски,1.7,3.8,4.75,21,2,0,828,1355,-527,44,56,8,13,2,3,410,492,58,63,12,40,28,14,57,61,21,20,11,26,6,9,10,19,164,163,13,15,4,4,7,13,6,2,3-5-2,6.81,3-4-3,6.74,14.63,7.09,,,3.2857142857142856,28.142857142857142,14.5,14.411764705882351,12.25,13.235294117647058
162,Штутгарт,Майнц 05,Фрэнк Вилленборг,1.6,4.333333333333334,5.0,29,0,0,995,981,14,52,48,9,20,1,4,402,349,59,55,12,26,26,16,78,57,29,17,13,23,2,4,20,13,148,164,11,9,3,2,9,3,2,6,3-4-2-1,6.89,3-4-3,6.73,8.35,5.86,,,5.166666666666667,28.166666666666668,11.5,12.22222222222222,12.625,13.944444444444445
163,Юнион Берлин,Мгладбах,Бастиан Данкерт,3.5,3.6,2.0,24,1,0,607,1243,-636,42,58,11,13,1,3,447,600,60,46,14,22,14,16,48,55,15,23,15,16,2,9,10,11,125,130,13,14,2,4,9,11,4,3,3-5-2,6.84,4-4-2,6.88,22.17,11.0,,,4.857142857142857,28.0,12.333333333333334,13.166666666666666,13.125,11.88888888888889
164,Бавария М.,Хоффенхайм,Бенджамин Кортус,1.2,7.5,10.0,19,2,1,1979,922,1057,60,40,11,8,1,0,605,396,51,58,29,20,15,13,38,45,11,10,8,16,10,4,16,20,148,131,15,16,9,5,10,12,5,4,4-2-3-1,7.08,3-5-2,6.83,12.59,20.41,,,5.5,29.33333333333333,9.875,9.555555555555555,14.333333333333334,14.055555555555555
165,Дортмунд,Аугсбург,Патрик Иттрих,1.22,6.5,10.0,24,1,1,2496,139,2357,67,33,12,12,0,1,724,343,65,48,24,7,19,22,58,45,15,9,21,11,10,1,13,16,136,138,14,6,5,1,10,4,4,2,4-2-3-1,7.04,3-4-2-1,6.78,6.05,22.18,,,3.8,27.2,9.875,10.11111111111111,12.0,11.833333333333334
166,Э. Франкфурт,Герта,Флориан Бадстабнер,1.7,3.9,4.5,31,0,0,1453,387,1066,60,40,17,14,1,4,541,353,56,71,21,17,19,18,51,59,15,17,13,15,4,7,11,12,145,153,15,9,7,3,11,7,4,2,3-4-2-1,6.91,4-2-3-1,6.79,6.3,15.47,,,3.4,25.8,13.125,14.27777777777778,17.333333333333332,15.5
167,Бремен,Шальке 04,Сёрен Аисты,2.05,3.4,3.6,32,0,1,1636,785,851,49,51,12,20,0,4,482,514,52,74,28,9,4,26,62,52,23,15,18,14,6,1,10,7,151,143,15,6,5,1,8,3,7,3,3-5-2,6.81,4-2-3-1,6.64,13.36,9.04,,,3.8333333333333335,28.0,12.5,12.333333333333334,13.0,12.666666666666666
