,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
71,Бордо,ПСЖ,Бризар Джером,7.0,5.25,1.36,23,0,0,117,2921,-2804,35,65,10,13,0,3,382,673,55,60,1,21,12,29,48,53,7,9,19,18,0,9,15,12,135,144,4,21,1,7,1,18,3,3,3-4-2-1,6.82,4-3-3,7.01,24.33,5.95,,,2.0,24.0,14.0,14.571428571428571,12.666666666666666,12.142857142857142
72,Анже,Амьен,Карим Абед,1.66,3.5,6.0,23,0,1,2009,400,1609,59,41,10,13,1,0,565,397,77,82,30,12,23,7,77,46,35,17,16,15,10,2,7,16,190,164,23,8,6,4,13,5,10,3,4-1-4-1,6.82,4-2-3-1,6.64,12.28,14.63,,,3.3333333333333335,23.666666666666668,12.5,13.142857142857142,9.333333333333334,11.0
73,АС Монако,Брест,Рудди Буке,1.4,4.5,9.5,22,1,0,1852,436,1416,54,46,7,15,1,2,534,447,62,47,21,7,15,20,61,43,13,8,23,19,7,1,10,9,121,133,22,5,14,1,16,3,6,2,3-5-2,6.71,4-2-3-1,6.79,10.78,15.0,,,3.4,20.4,10.75,11.0,12.0,12.0
74,Мец,Тулуза,Флоран Батта,2.1,3.25,3.8,27,1,0,715,1345,-630,47,53,10,17,1,1,395,433,60,52,14,23,14,11,66,47,20,15,23,17,3,6,11,5,148,162,13,15,3,7,8,11,5,4,4-3-3,6.82,4-2-3-1,6.8,14.8,8.63,,,2.3333333333333335,29.0,13.0,12.285714285714286,12.75,13.142857142857142
75,Ницца,Лилль,Клемент Терпин,3.1,3.2,2.45,22,1,1,1103,842,261,59,41,8,14,2,2,586,411,37,40,18,12,25,23,44,54,2,5,19,27,6,5,7,10,114,111,12,11,5,6,6,5,6,6,4-3-3,6.81,4-2-3-1,6.86,10.52,14.1,,,2.6666666666666665,22.333333333333332,8.0,10.571428571428571,11.0,9.285714285714286
76,Реймс,Дижон,Джереми Пиньяр,1.72,3.4,5.75,29,1,1,1543,799,744,56,44,8,21,1,2,470,376,49,82,29,10,23,7,71,51,22,26,18,16,5,4,13,10,151,155,18,11,2,4,11,8,7,3,4-2-3-1,6.96,4-2-3-1,6.79,10.29,7.55,,,4.5,23.0,17.666666666666668,14.428571428571429,11.666666666666666,12.428571428571429
77,Страсбург,Монпелье,Хаким Бен эль Салем Хадж,2.25,3.2,3.3,31,1,0,628,1040,-412,46,54,18,13,4,2,382,438,75,67,15,19,20,13,52,69,24,24,7,19,1,6,12,11,160,164,8,11,3,3,3,7,5,4,3-5-2,6.82,3-4-1-2,6.88,9.56,7.44,,,2.3333333333333335,27.666666666666668,11.0,12.428571428571429,16.666666666666668,16.428571428571427
78,Ним,Сент-Этьен,Томас Леонард,2.55,3.2,2.9,27,0,0,2115,465,1650,65,35,12,15,1,4,467,256,76,72,36,12,17,12,74,59,30,33,21,12,13,5,11,19,151,147,23,6,8,4,11,3,12,3,4-3-3,6.82,4-2-3-1,6.76,6.62,14.65,,,4.5,27.5,15.333333333333334,14.428571428571429,10.25,12.0
79,Марсель,Ренн,Фрэнк Шнайдер,2.0,3.6,3.75,31,0,1,1192,759,433,55,45,18,13,4,0,488,401,51,53,22,15,14,19,63,64,17,18,23,17,7,4,12,9,144,139,17,11,5,3,7,7,10,4,4-2-3-1,6.88,5-3-2,6.79,7.34,10.15,,,2.0,28.333333333333332,15.0,14.857142857142858,15.25,14.714285714285714
80,Амьен,Марсель,Йохан Хамель,3.1,3.4,2.3,31,2,1,625,1420,-795,32,68,16,15,1,3,268,565,59,51,12,22,18,24,61,80,20,24,21,24,3,7,7,10,139,144,11,13,5,4,8,3,3,10,4-2-3-1,6.64,4-2-3-1,6.87,13.36,4.1,,,3.0,23.0,12.25,11.25,14.75,15.25
81,ПСЖ,Анже,Вилли Делайод,1.2,7.0,13.0,23,2,0,2183,355,1828,72,28,12,11,3,1,885,322,30,46,11,9,34,15,65,45,9,4,24,23,6,1,12,6,116,119,15,10,8,2,12,3,3,7,4-3-3,7.04,4-5-1,6.84,7.79,35.75,,,5.2,30.2,11.75,12.25,14.0,12.75
82,Дижон,Страсбург,Бенуа Милло,3.0,3.0,2.5,21,1,0,898,961,-63,43,57,7,14,3,3,420,546,77,57,14,24,15,10,43,39,13,13,14,16,6,7,10,11,136,128,8,15,3,2,6,7,2,8,4-4-2,6.79,3-5-1-1,6.82,22.88,8.26,,,5.25,21.0,13.0,13.5,14.333333333333334,13.125
83,Нант,Ницца,Амори Делерю,2.0,3.3,3.75,21,0,0,1264,389,875,45,55,14,7,1,2,481,605,45,54,19,4,23,25,58,61,9,13,26,24,6,1,14,16,142,134,14,6,5,2,8,4,6,2,4-2-3-1,6.9,4-3-3,6.81,12.31,10.15,,,3.25,25.5,16.25,15.125,12.5,10.25
84,Монпелье,АС Монако,Франсуа Летексье,3.1,3.3,2.25,29,2,0,1097,1634,-537,38,62,18,11,1,2,320,518,71,34,20,28,16,15,54,52,24,19,12,9,6,8,11,2,122,134,17,14,10,4,14,12,3,2,3-4-1-2,6.87,3-5-2,6.79,11.0,11.44,,,5.0,28.0,16.25,16.0,11.333333333333334,10.5
85,Брест,Мец,Энтони Готье,2.6,3.2,2.8,27,2,0,386,1687,-1301,33,67,12,15,2,1,307,594,56,44,9,33,13,16,61,53,19,16,21,16,2,9,16,6,133,163,7,12,3,4,5,3,2,9,4-2-3-1,6.74,4-3-3,6.82,16.14,5.0,,,5.2,27.0,12.0,12.375,11.75,12.0
86,Тулуза,Бордо,Бенуа Бастьен,2.37,3.1,3.3,32,0,2,1309,1165,144,32,68,16,16,4,2,268,604,49,80,30,10,22,16,74,61,23,22,21,16,5,4,13,9,142,146,15,10,4,4,7,3,8,7,4-3-3,6.78,3-4-2-1,6.8,11.88,4.81,,,5.0,31.0,13.666666666666666,13.625,15.0,14.0
87,Лилль,Ним,Микаэль Лесаж,1.5699999999999998,3.75,6.5,29,1,1,1436,912,524,65,35,19,10,3,1,505,264,68,57,18,16,15,16,54,63,27,26,13,14,8,6,3,8,157,138,18,14,7,4,13,10,5,4,4-2-2-2,6.86,4-4-2,6.84,5.57,17.29,,,5.25,28.0,8.0,9.875,13.75,14.125
88,Ренн,Реймс,Стефани Фраппар,2.45,3.1,3.2,33,0,0,1525,1041,484,63,37,13,20,1,3,513,300,57,58,30,12,15,22,64,59,21,13,21,21,5,3,10,15,162,152,18,13,3,7,9,8,9,5,5-3-2,6.79,4-2-3-1,6.94,4.31,13.7,,,3.5,24.0,14.0,14.5,12.0,13.625
89,Сент-Этьен,Лион,Клемент Терпин,3.6,3.6,1.95,31,0,0,761,637,124,46,54,13,18,1,2,424,510,65,62,20,8,20,25,64,67,15,22,20,19,5,1,9,11,159,145,7,6,4,2,5,3,2,3,3-4-1-2,6.78,3-4-1-2,6.94,14.56,7.72,,,3.0,22.25,14.333333333333334,12.375,13.0,11.125
90,Ницца,ПСЖ,Франсуа Летексье,8.5,5.0,1.36,27,0,2,310,2332,-2022,39,61,12,15,3,2,357,556,38,47,6,24,18,20,44,47,6,4,11,16,1,13,8,15,100,114,10,23,2,10,7,18,3,5,4-3-3,6.81,4-2-2-2,7.09,13.35,7.58,,,4.5,28.25,8.0,9.88888888888889,12.75,12.222222222222221
91,Лион,Дижон,Фрэнк Шнайдер,1.36,5.0,8.5,23,0,0,2494,122,2372,64,36,12,11,0,0,617,347,57,64,41,9,20,13,63,47,23,18,15,14,8,1,15,6,157,139,24,6,10,1,15,3,9,3,4-3-3,6.9,4-2-3-1,6.81,9.82,32.18,,,2.5,29.0,9.25,11.88888888888889,14.0,12.777777777777779
92,Анже,Брест,Эрик Ваттелье,1.61,3.75,6.0,21,0,0,1928,528,1400,55,45,10,11,1,0,505,426,53,51,39,14,16,12,57,57,27,17,13,24,13,3,12,6,150,146,29,6,6,1,18,4,11,2,4-1-4-1,6.78,4-2-3-1,6.78,9.92,14.0,,,4.666666666666667,26.666666666666668,12.0,12.555555555555555,12.75,12.333333333333334
93,Мец,Нант,Джереми Пиньяр,2.5,3.0,3.1,29,0,0,967,773,194,47,53,16,13,2,1,451,501,69,44,16,11,11,15,53,58,17,17,18,17,3,3,9,4,133,142,10,9,2,2,4,4,6,5,4-3-3,6.81,4-2-3-1,6.92,12.5,16.0,,,4.0,25.0,12.25,12.333333333333334,14.0,15.0
94,Ним,Амьен,Джереми Стинат,2.3,3.4,3.1,26,1,0,382,1598,-1216,37,63,11,15,2,4,288,489,72,59,12,17,11,19,58,62,14,28,26,11,1,11,19,12,169,198,11,12,3,5,3,8,8,4,4-2-3-1,6.84,4-2-3-1,6.66,10.32,4.5,,,3.6666666666666665,24.333333333333332,14.5,13.666666666666666,10.25,11.777777777777779
