,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
150,Тамбов,Ротор,Иван Сиденков,3.4,3.3,2.1,30,1,0,699,1674,-975,36,64,13,17,1,2,310,531,60,60,13,30,12,13,44,37,11,8,12,10,3,4,23,16,139,140,11,12,4,7,7,11,4,1,5-3-2,6.75,4-2-3-1,6.72,14.48,8.17,,,5.0,31.0,13.0,12.473684210526315,14.625,15.058823529411764
151,Химки,Уфа,Артем Любимов,2.1,3.25,3.2,33,0,0,666,1375,-709,43,57,16,17,5,1,357,466,76,69,15,19,5,12,55,44,23,16,11,8,3,6,14,16,169,176,9,15,4,6,7,9,2,6,3-4-3,6.83,5-3-2,6.73,8.59,5.13,,,4.0,20,12.7,13.421052631578947,14.3,14.842105263157896
152,Зенит,Ростов,Алексей Валерьевич Матюнин,1.36,4.75,8.5,18,0,1,2022,522,1500,52,48,7,11,2,5,473,431,73,93,24,15,9,4,49,26,19,8,12,10,8,3,14,13,136,151,24,9,8,4,17,6,7,3,4-4-2,7.08,4-3-3,6.85,14.25,11.42,,,4.6,22.6,9.6,9.526315789473685,14.3,13.0
153,Сочи,Арсенал,Михаил Вилков,1.7,3.4,5.0,22,0,0,1216,792,424,50,50,10,12,1,3,468,464,66,96,12,15,7,11,44,39,15,19,14,8,2,6,9,7,133,157,11,6,7,1,6,4,5,2,3-4-2-1,6.89,4-2-3-1,6.73,16.06,14.06,,,5.833333333333333,26.333333333333332,12.3,11.894736842105264,16.2,14.473684210526315
154,Локомотив,ЦСКА,Павел Кукуян,3.4,3.25,2.15,31,2,0,290,2106,-1816,42,58,19,12,1,0,343,445,50,58,8,38,15,26,45,60,10,14,16,13,2,11,15,17,146,160,5,19,2,6,1,17,4,2,4-3-1-2,6.88,4-2-3-1,6.96,9.71,6.7,,,5.9,28.7,12.777777777777779,13.157894736842104,13.555555555555555,11.736842105263158
155,Спартак,Рубин Казань,Сергей Лапочкин,1.85,3.6,4.0,28,0,0,1407,517,890,58,42,18,10,6,4,433,312,49,60,30,13,15,10,46,64,15,20,12,22,7,2,10,27,146,125,13,14,5,5,8,10,5,4,4-4-2,7.03,4-3-3,6.86,7.68,8.74,,,6.3,26.3,14.0,14.157894736842104,11.6,11.421052631578947
156,Ахмат,Динамо,Владислав Безбородов,2.25,3.25,2.9,29,0,2,1287,609,678,49,51,14,15,7,2,404,421,90,83,26,8,13,11,53,55,18,23,9,11,9,1,14,18,165,153,15,9,4,2,11,6,4,3,4-4-1-1,6.83,4-3-3,6.93,13.56,7.0,,,4.5,26.25,15.5,16.36842105263158,12.0,13.31578947368421
157,Краснодар,Урал,Сергей Карасев,1.45,4.2,6.5,25,1,0,1602,1273,329,54,46,8,17,2,2,469,386,44,53,25,28,20,9,54,38,16,14,10,13,8,3,23,16,133,131,16,16,6,7,10,8,6,8,4-4-2,7.01,4-2-3-1,6.86,10.47,9.5,,,6.0,26.363636363636363,11.4,10.944444444444445,13.2,12.421052631578947
158,ЦСКА,Ахмат,Иван Сиденков,1.65,3.75,5.25,32,1,0,1130,478,652,52,48,16,16,2,5,460,418,57,79,15,12,21,8,58,47,19,11,13,17,5,1,16,20,157,161,19,6,6,0,11,2,8,4,4-2-3-1,6.95,4-4-2,6.82,8.71,6.53,,,4.0,30.5,10.1,11.75,17.333333333333332,16.25
159,Ротор,Химки,Сергей Иванов,2.5,3.1,3.0,17,0,0,480,1115,-635,45,55,14,3,4,0,494,589,128,93,8,11,7,8,50,51,15,27,25,10,3,5,32,10,193,225,8,6,1,0,8,2,0,4,4-2-3-1,6.74,5-3-2,6.83,15.72,18.85,,,5.916666666666667,25.833333333333332,15.444444444444445,15.166666666666666,14.222222222222221,13.55
160,Ростов,Сочи,Василий Казарцев,3.4,3.0,2.3,21,0,0,866,1078,-212,53,47,11,10,2,5,406,362,77,90,30,18,10,11,49,57,23,32,10,11,5,4,10,2,186,184,5,8,2,2,4,7,1,1,4-3-3,6.84,3-5-2,6.91,10.25,11.65,,,7.166666666666667,26.333333333333332,11.375,12.894736842105264,11.444444444444445,11.8
161,Урал,Уфа,Сергей Лапочкин,2.55,2.75,3.3,37,0,0,2224,205,2019,68,32,17,20,3,2,534,260,70,83,39,8,11,10,59,61,20,27,18,18,10,2,14,14,181,163,17,7,3,2,6,4,11,3,4-2-3-1,6.86,5-3-2,6.73,3.17,11.05,,,6.636363636363637,26.454545454545453,11.555555555555555,12.65,14.545454545454545,14.95
162,Динамо,Тамбов,Евгений Кукуляк,1.06,11.0,26.0,23,1,0,2971,176,2795,71,29,10,13,1,2,681,266,61,92,27,11,21,8,58,50,30,10,12,24,8,4,15,20,177,172,29,5,9,0,17,3,12,2,4-3-3,6.93,5-3-2,6.74,3.52,16.8,,,6.142857142857143,28.142857142857142,14.777777777777779,13.4,11.88888888888889,12.5
