,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
85,Алавес,Сельта,Хосе Луис Гонсалес Гонсалес,2.9,3.0,2.6,25,0,0,1099,1026,73,37,63,20,5,5,1,325,538,55,51,14,23,12,22,55,56,23,13,22,14,4,6,11,12,134,132,12,13,5,2,10,9,2,4,4-4-2,6.71,4-4-2,6.75,9.78,9.39,,,3.75,29.0,15.0,16.5,12.0,10.625
86,Реал Сосьедад,Бетис,Сезар Сото Градо,1.8,3.8,4.333333333333334,35,2,1,1671,509,1162,50,50,23,12,4,2,414,411,52,55,24,14,8,20,42,67,11,22,16,12,11,2,7,13,135,124,17,12,6,5,12,7,5,5,4-2-3-1,6.82,4-4-2,6.75,6.67,10.95,,,4.25,24.0,13.333333333333334,12.875,9.666666666666666,10.375
87,Эспаньол,Вильярреал,Карлос Дель Серро Гранде,2.9,3.4,2.37,25,0,1,1424,496,928,50,50,11,14,2,1,405,418,96,84,33,6,11,27,70,72,30,24,20,19,7,3,7,6,180,171,18,11,3,5,10,6,8,5,3-4-2-1,6.65,4-3-3,6.89,7.0,9.89,,,4.0,25.5,10.0,11.75,12.0,11.375
88,Атлетик,Вальядолид,Хесус Хиль Мансано,1.75,3.4,5.25,21,1,0,1339,781,558,52,48,12,9,2,3,456,412,66,75,20,18,27,11,58,50,18,16,12,15,3,4,11,7,149,154,19,9,7,3,11,6,8,3,4-2-3-1,6.8,4-4-2,6.71,9.04,14.0,,,6.25,29.75,14.25,14.75,12.2,13.25
89,Севилья,Леванте,Гильермо Куадра Фернандес,1.3,5.75,9.5,21,0,0,1909,527,1382,60,40,10,11,2,2,472,330,75,64,46,11,14,24,64,51,19,17,27,14,9,1,8,8,157,159,19,12,5,5,15,5,4,7,4-3-3,6.82,4-4-2,6.82,4.84,13.28,,,5.0,33.25,13.666666666666666,13.75,10.75,9.75
90,Вильярреал,Алавес,Давид Меди Хименес,1.5699999999999998,4.0,6.0,25,1,0,1391,723,668,63,37,12,13,2,2,540,307,80,67,14,16,24,12,53,52,12,22,13,14,5,4,7,11,141,139,19,12,8,3,10,8,9,4,4-1-4-1,6.91,4-4-2,6.75,7.3,13.2,,,5.0,26.75,10.75,11.666666666666666,18.0,16.88888888888889
91,Леганес,Мальорка,Эдуардо Прието Иглесиас,1.7,3.5,5.5,32,1,0,607,1027,-420,42,58,19,13,4,1,337,453,43,52,17,19,14,22,58,59,19,15,20,14,4,5,9,8,113,122,9,9,3,1,6,6,3,3,4-3-3,6.66,4-3-3,6.67,8.54,9.33,,,4.5,23.0,12.8,14.777777777777779,16.666666666666668,14.777777777777779
92,Вальядолид,Эйбар,Хосе Луис Мунуэра Монтеро,2.5,3.1,3.0,26,2,0,355,1376,-1021,35,65,13,13,1,2,303,523,85,68,7,30,15,14,53,74,21,31,15,21,4,3,16,7,167,185,8,13,4,3,5,3,3,10,4-4-2,6.71,4-3-3,6.7,14.5,6.09,,,4.25,22.5,15.0,12.777777777777779,14.4,14.444444444444445
93,Атл. Мадрид,Атлетик,Алехандро Эрнандес,1.66,3.4,6.5,23,1,0,644,991,-347,45,55,14,9,2,2,376,448,59,74,17,25,11,17,41,52,8,22,17,8,7,7,8,7,118,137,9,9,2,2,6,5,3,4,4-4-2,6.91,4-2-3-1,6.81,9.33,15.77,,,7.5,22.5,14.8,14.0,15.25,14.444444444444445
94,Сельта,Реал Сосьедад,Валентин Писарро Гомес,2.55,3.3,2.75,32,0,0,456,1177,-721,41,59,20,12,5,2,310,436,59,53,15,20,9,16,58,64,25,25,19,10,3,7,7,12,133,140,9,9,1,4,5,4,4,5,4-4-2,6.75,4-2-3-1,6.83,11.05,9.47,,,4.5,30.25,9.8,10.0,12.6,14.0
