Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
143,Арсенал,Челси,Майкл Оливер,4.75,3.8,1.72,23,2,0,907,1517,-610,39,61,13,10,2,1,328,506,52,67,16,34,12,21,49,67,16,36,16,10,7,9,7,14,146,135,15,19,7,3,12,11,3,8,4-2-3-1,6.84,4-3-3,7.01,3.1818181818181817,22.363636363636363,9.857142857142858,9.928571428571429,12.142857142857142,12.214285714285714,16.13,8.78,,
144,Манчестер Сити,Ньюкасл,Андре Марринер,1.12,9.5,17.0,17,1,0,2437,256,2181,75,25,5,12,2,2,862,272,48,53,11,18,17,8,42,35,10,15,8,11,7,3,8,16,119,104,11,7,6,2,8,4,3,3,3-3-1-3,6.98,5-4-1,6.81,2.25,17.5,11.571428571428571,10.642857142857142,11.142857142857142,10.857142857142858,13.7,27.39,,
145,Шеффилд Юнайтед,Эвертон,Дэвид Кут,3.4,3.3,2.2,21,0,0,736,974,-238,43,57,11,10,2,4,420,545,70,79,15,13,10,26,54,74,20,32,18,13,5,3,11,8,164,169,10,7,2,3,9,4,1,3,3-4-2-1,6.68,4-2-3-1,6.98,3.857142857142857,26.857142857142858,12.428571428571429,12.285714285714286,10.142857142857142,10.5,10.77,11.17,,
146,Лидс,Бернли,Роберт Джонс,1.7,4.2,4.5,22,1,0,1045,1662,-617,51,49,8,14,0,3,424,378,75,68,12,36,14,13,57,46,22,18,17,11,4,12,8,6,154,175,11,14,4,6,6,10,5,4,3-3-3-1,6.88,4-4-2,6.79,2.5,22.5,11.0,10.642857142857142,12.285714285714286,11.285714285714286,10.21,11.95,,
147,Вест Хэм,Брайтон,Саймон Хупер,2.37,3.3,3.1,14,0,1,848,1041,-193,43,57,6,8,0,0,423,574,66,83,26,13,8,15,51,42,23,16,14,11,5,4,13,12,150,147,11,13,4,4,8,8,3,5,3-4-1-2,6.88,3-4-2-1,6.82,3.0,26.2,11.571428571428571,10.714285714285714,13.428571428571429,12.5,18.5,10.42,,
148,Ливерпуль,Вест Бромвич,Кевин Френд,1.12,9.0,19.0,13,1,0,2614,340,2274,78,22,8,5,0,1,787,213,40,62,35,14,13,7,49,39,26,13,11,15,7,3,4,13,155,145,17,5,2,3,8,3,9,2,4-3-3,6.97,4-5-1,6.69,2.5,26.0,10.142857142857142,9.714285714285714,10.857142857142858,11.571428571428571,3.26,39.0,,
149,Вулверхэмптон,Тоттенхэм,Пол Тирни,3.4,3.3,2.2,33,0,1,1623,495,1128,54,46,20,13,4,1,542,466,62,51,30,7,22,16,68,59,21,19,21,14,9,2,12,11,144,140,11,6,6,3,7,4,4,2,4-2-3-1,6.85,3-4-1-2,6.93,4.25,25.75,13.428571428571429,12.428571428571429,11.0,12.714285714285714,6.63,16.72,,
150,Кристал Пэлас,Лестер,Грэм Скотт,3.3,3.4,2.2,17,0,0,368,2026,-1658,33,67,10,7,0,1,296,607,69,72,13,26,14,22,54,64,23,21,18,22,2,5,14,9,173,174,4,17,1,3,4,9,0,8,4-4-2,6.76,4-2-3-1,6.91,3.1666666666666665,22.166666666666668,11.571428571428571,11.466666666666669,8.142857142857142,9.866666666666667,23.38,5.52,,
151,Челси,Астон Вилла,Стюарт Аттвелл,1.75,4.0,4.333333333333334,19,1,0,1501,711,790,63,37,16,3,3,1,550,314,63,62,27,19,14,17,39,63,15,19,17,19,11,4,14,13,161,146,16,10,5,2,10,7,6,3,4-3-3,6.99,4-2-3-1,7.1,5.0,23.142857142857142,12.285714285714286,12.066666666666666,12.0,11.866666666666667,5.14,16.95,,
152,Брайтон,Арсенал,Мартин Аткинсон,3.6,3.4,2.05,15,0,0,842,942,-100,49,51,11,4,2,0,492,511,62,55,27,13,17,11,58,37,24,12,17,10,5,4,7,10,122,117,13,11,2,3,9,9,4,2,3-5-2,6.82,4-2-3-1,6.84,2.090909090909091,19.727272727272727,11.571428571428571,12.2,10.0,10.133333333333333,22.0,20.93,,
153,Бернли,Шеффилд Юнайтед,Крис Кавана,2.4,3.2,3.1,30,1,0,653,1502,-849,37,63,13,17,1,2,322,551,69,69,12,23,9,13,62,57,31,22,12,13,3,5,8,8,136,159,5,7,3,3,4,4,1,3,4-4-2,6.79,3-4-3,6.68,3.0,24.0,10.285714285714286,11.466666666666669,12.142857142857142,12.2,12.4,8.21,,
154,Саутгемптон,Вест Хэм,Энди Мэдли,2.0,3.5,3.75,31,0,0,1411,815,596,62,38,16,15,3,1,576,340,41,56,19,18,6,13,38,58,7,21,15,15,4,3,11,17,147,148,8,8,3,3,4,6,4,2,4-4-2,6.93,4-1-4-1,6.88,2.0,23.25,12.571428571428571,12.4,9.857142857142858,10.4,7.89,16.89,,
155,Вест Бромвич,Лидс,Ли Мейсон,4.0,4.0,1.8,17,0,4,188,2183,-1995,24,76,7,10,0,1,238,762,64,62,17,28,5,20,41,58,18,26,10,13,3,10,11,6,132,130,4,14,1,6,2,8,2,6,4-1-4-1,6.7,4-1-4-1,6.9,2.1666666666666665,19.83333333333333,12.285714285714286,11.133333333333333,10.285714285714286,10.466666666666669,34.43,7.19,,
156,Манчестер Юнайтед,Вулверхэмптон,Джонатан Мосс,1.53,4.2,6.0,18,0,0,1237,530,707,58,42,11,7,1,1,611,439,44,61,18,11,20,13,46,43,13,9,15,16,2,2,15,11,130,120,11,9,3,5,6,7,5,2,4-2-3-1,6.91,3-4-1-2,6.86,2.7,21.8,11.142857142857142,12.333333333333334,11.428571428571429,12.933333333333334,10.96,26.36,,
