Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
227,Лидс,Манчестер Юнайтед,Пол Тирни,3.6,3.8,1.95,23,0,2,894,1036,-142,33,67,10,13,2,1,251,544,47,63,18,8,18,24,61,61,16,12,23,30,7,3,10,6,144,148,16,11,6,5,13,8,3,3,14,17,170,444,4-2-3-1,6.75,4-2-3-1,6.9,11.27,5.75,,
228,Манчестер Сити,Астон Вилла,Роберт Джонс,1.33,5.25,9.0,27,3,1,2231,373,1858,67,33,13,14,1,2,620,304,52,55,18,7,11,13,34,32,8,4,7,7,8,4,3,16,89,87,17,6,9,2,13,3,4,3,4,15,558,247,3-2-4-1,7.08,4-4-2,6.8,8.09,23.6,,
229,Ливерпуль,Эвертон,Саймон Хупер,1.5699999999999998,4.2,5.75,24,2,0,1503,422,1081,59,41,8,16,1,3,585,403,44,52,19,12,21,21,60,45,12,9,21,18,3,3,7,14,143,130,15,6,6,1,11,4,4,2,11,21,505,317,4-3-3,6.9,4-5-1,6.83,10.92,14.41,,
230,Астон Вилла,Арсенал,Саймон Хупер,4.333333333333334,3.6,1.83,17,2,4,313,2174,-1861,33,67,13,4,2,2,293,571,51,41,9,30,16,24,50,53,12,13,25,18,2,9,13,0,111,150,7,20,5,5,4,12,3,8,25,6,225,489,4-4-2,6.79,4-3-3,6.98,14.68,9.16,,
231,Брентфорд,Кристал Пэлас,Пол Тирни,1.8,3.5,4.75,18,1,1,1507,733,774,59,41,10,8,2,2,517,360,55,54,25,19,14,16,49,50,24,16,12,15,2,6,9,14,151,135,12,10,5,4,7,8,5,2,12,37,426,280,4-3-3,6.86,4-2-3-1,6.78,7.32,19.73,,
232,Брайтон,Фулхэм,Англия Даррен,1.5,4.2,6.0,26,0,1,2457,72,2385,65,35,12,14,0,5,593,316,46,57,21,6,22,11,54,44,16,11,10,13,10,2,8,11,124,111,21,5,7,2,14,4,7,1,3,19,520,231,4-2-3-1,6.91,4-2-3-1,6.87,6.2,22.06,,
233,Челси,Саутгемптон,Дэвид Кут,1.4,4.5,8.0,41,0,1,1659,578,1081,61,39,16,25,3,6,504,320,40,65,20,8,36,17,72,68,13,12,17,31,8,2,8,13,144,124,17,8,5,5,10,4,7,4,5,27,433,241,4-2-3-1,6.89,4-4-2,6.73,5.86,7.12,,
234,Эвертон,Лидс,Энди Мэдли,2.63,3.25,2.75,14,1,0,1512,696,816,50,50,8,6,2,3,399,400,74,71,26,19,29,23,63,62,18,20,23,24,6,4,10,11,172,179,15,8,6,0,10,3,5,5,19,18,293,276,4-5-1,6.82,4-2-3-1,6.75,10.16,12.12,,
235,Ноттингем Форест,Манчестер Сити,Грэм Скотт,9.0,5.25,1.33,14,1,1,136,3066,-2930,27,73,8,6,1,0,252,676,60,57,4,34,6,23,36,42,13,10,13,10,0,10,8,2,117,134,4,23,1,6,3,10,1,13,37,5,164,595,4-3-2-1,6.76,3-2-4-1,7.07,39.63,7.47,,
236,Вулверхэмптон,Борнмут,Солсбери Майкл,1.75,3.6,4.75,22,0,1,1982,230,1752,69,31,12,10,3,3,616,291,67,48,40,6,20,13,60,53,19,24,16,9,12,2,2,6,158,141,15,5,4,1,12,3,3,2,13,48,520,197,4-2-3-1,6.78,4-2-3-1,6.71,6.6,21.24,,
237,Ньюкасл,Ливерпуль,Энтони Тейлор,2.45,3.4,2.8,11,0,2,980,1395,-415,37,63,3,8,1,1,350,605,49,57,18,19,30,16,50,30,11,5,10,14,6,7,7,4,111,111,14,13,4,7,12,8,2,5,22,20,287,533,4-3-3,6.98,4-3-3,6.91,41.2,7.08,,
238,Манчестер Юнайтед,Лестер,Стюарт Аттвелл,1.55,4.5,5.75,18,3,0,1803,870,933,57,43,9,9,0,2,572,433,53,44,18,14,37,22,68,50,16,7,23,26,6,6,10,10,142,143,26,19,8,3,19,11,7,8,22,14,484,351,4-2-3-1,6.91,4-2-3-1,6.83,10.55,11.59,,
239,Тоттенхэм,Вест Хэм,Майкл Оливер,1.83,3.4,4.5,26,2,0,1250,770,480,57,43,16,10,2,1,544,403,43,55,20,23,13,16,51,64,19,20,19,18,4,7,8,13,140,157,16,6,6,1,8,4,8,2,28,17,460,302,3-4-2-1,6.9,3-4-2-1,6.84,6.59,10.82,,
240,Фулхэм,Вулверхэмптон,Майкл Оливер,2.6,3.2,2.88,29,1,1,708,896,-188,51,49,12,17,2,0,448,442,59,63,20,15,13,23,55,65,11,19,20,19,3,3,14,10,147,151,10,8,5,2,3,6,7,2,15,16,364,337,4-2-3-1,6.88,4-4-2,6.78,9.48,8.66,,
241,Эвертон,Астон Вилла,Энтони Тейлор,2.6,3.2,2.88,24,0,2,1402,1016,386,47,53,12,12,2,1,353,433,63,49,35,8,29,18,68,57,17,18,20,16,5,1,12,7,138,136,15,9,5,5,13,4,2,5,15,27,277,343,4-1-4-1,6.83,4-4-2,6.77,7.11,11.0,,
242,Лидс,Саутгемптон,Питер Бэнкс,1.95,3.6,3.8,28,1,0,1428,347,1081,61,39,15,13,2,4,520,345,38,38,26,10,21,23,55,61,12,11,23,27,9,2,8,11,150,138,14,8,4,2,9,5,5,3,12,30,440,268,4-2-3-1,6.74,4-4-2,6.74,5.44,10.96,,
243,Лестер,Арсенал,Крэйг Поусон,6.0,4.2,1.55,23,0,1,229,1811,-1582,34,66,14,9,0,1,315,613,50,58,10,15,15,13,49,52,16,18,12,11,0,8,6,6,143,158,1,10,0,2,0,5,1,5,20,11,217,505,4-3-3,6.81,4-3-3,6.98,15.72,7.95,,
244,Вест Хэм,Ноттингем Форест,Джарред Джиллетт,1.7,3.75,5.25,13,4,0,1878,504,1374,49,51,8,5,0,0,409,435,47,63,33,19,20,24,54,57,25,23,13,15,12,3,7,5,149,147,18,8,5,3,12,4,6,4,15,24,319,340,4-3-3,6.83,4-3-2-1,6.76,10.41,14.69,,
245,Борнмут,Манчестер Сити,Пол Тирни,8.5,5.0,1.36,19,1,4,510,1801,-1291,34,66,10,9,2,2,377,750,43,26,16,16,23,14,46,52,10,9,15,26,4,6,10,6,120,111,13,20,2,5,11,14,2,6,12,16,313,676,5-4-1,6.72,3-2-4-1,7.07,32.36,7.57,,
246,Кристал Пэлас,Ливерпуль,Англия Даррен,4.75,3.8,1.7,25,0,0,746,1338,-592,36,64,11,14,2,5,345,644,53,48,23,14,20,12,62,51,18,18,16,14,5,3,6,5,146,151,6,12,0,4,4,8,2,4,23,15,257,544,4-2-3-1,6.78,4-3-3,6.92,18.68,8.32,,
247,Тоттенхэм,Челси,Стюарт Аттвелл,3.0,3.3,2.45,20,2,0,778,1001,-223,41,59,10,10,2,3,410,596,45,42,13,16,20,23,65,50,17,11,27,19,4,4,10,12,122,124,8,10,3,2,4,1,4,9,22,23,337,532,3-4-2-1,6.9,4-2-3-1,6.88,11.48,8.03,,
248,Манчестер Юнайтед,Брентфорд,Джон Брукс,1.5699999999999998,4.2,5.25,22,1,0,1981,308,1673,65,35,9,13,3,2,616,327,63,58,18,15,21,17,61,54,23,17,15,18,12,3,8,10,131,119,18,6,3,1,8,4,10,2,14,26,528,249,4-2-3-1,6.89,5-3-2,6.86,9.47,17.71,,
249,Манчестер Сити,Ньюкасл,Саймон Хупер,1.5,4.333333333333334,6.5,21,2,0,1331,408,923,56,44,8,13,2,4,539,410,51,44,18,17,20,16,46,35,9,7,13,11,8,4,4,11,115,121,11,5,3,2,7,4,4,1,24,17,466,331,4-2-3-1,7.07,4-3-3,6.96,10.55,14.55,,
250,Арсенал,Борнмут,Крис Кавана,1.22,6.5,12.0,14,3,2,3400,162,3238,80,20,6,8,0,2,740,184,23,64,48,7,23,17,60,41,19,15,17,16,17,1,2,12,153,117,31,4,9,4,16,4,15,0,5,60,656,106,4-3-3,6.99,5-4-1,6.71,4.0,14.2,,
251,Астон Вилла,Кристал Пэлас,Крэйг Поусон,2.15,3.25,3.5,31,1,0,1057,584,473,58,42,14,17,2,5,526,364,39,48,6,15,16,18,45,52,8,4,13,22,2,4,7,9,111,107,8,3,1,0,7,2,1,1,11,7,462,305,4-2-3-1,6.78,4-2-3-1,6.79,8.58,9.41,,
