Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
174,Брест,Лилль,Матье Вернис,4.2,3.75,1.83,27,0,0,186,2009,-1823,28,72,15,12,0,1,264,688,54,64,11,23,7,11,46,57,10,19,21,15,0,8,16,10,135,149,5,11,0,4,3,7,2,4,21,7,174,605,4-3-3,6.74,4-2-3-1,6.86,17.72,5.0,,
175,Лорьян,Монако,Жером Брисар,4.5,3.8,1.75,21,2,2,622,1703,-1081,42,58,8,13,1,1,369,501,60,47,13,25,26,11,55,45,9,15,21,19,3,4,12,10,143,147,8,16,6,4,5,11,3,5,24,15,280,414,4-2-3-1,6.85,4-2-2-2,6.88,14.76,8.8,,
176,Ницца,Монпелье,Бастьен Дешепи,1.85,3.5,4.333333333333334,33,6,1,1849,593,1256,59,41,16,17,1,1,491,338,34,41,16,12,33,22,63,59,5,7,32,32,3,4,7,10,127,135,16,4,10,2,13,2,3,2,16,17,423,271,4-2-3-1,6.85,4-2-3-1,6.75,7.46,10.32,,
177,ПСЖ,Анже,Эрик Ваттелье,1.17,7.5,17.0,15,2,0,1712,269,1443,66,34,5,10,1,2,832,419,33,26,10,7,10,16,34,29,3,2,19,18,5,1,4,8,96,90,9,6,6,0,6,5,3,1,5,9,774,372,3-4-2-1,7.09,4-2-3-1,6.67,13.37,85.14,,
178,Страсбург,Ленс,Франсуа Летексье,3.75,3.3,2.0,25,2,2,454,1983,-1529,35,65,15,10,1,1,337,618,54,53,11,34,20,15,47,53,13,5,16,26,3,4,5,8,116,124,9,15,6,8,6,12,3,3,32,9,268,553,5-3-2,6.8,3-4-2-1,6.96,33.6,6.3,,
179,Труа,Марсель,Хаким Бен эль Салем Хадж,5.25,4.0,1.65,25,0,2,252,1828,-1576,32,68,12,13,2,3,300,656,39,59,11,27,11,13,34,36,6,4,9,12,4,7,8,10,102,107,5,13,1,4,3,11,2,2,12,10,235,595,4-2-3-1,6.78,3-4-2-1,6.91,29.5,6.69,,
180,Ленс,Осер,Вилли Делайод,1.3,5.25,10.0,37,1,0,2138,359,1779,68,32,21,16,2,3,581,274,44,53,37,11,13,7,46,45,15,10,14,15,9,2,7,11,113,112,10,6,2,1,6,3,4,3,13,28,528,202,3-4-3,6.97,4-5-1,6.74,6.2,18.23,,
181,Марсель,Лорьян,Бастьен Дешепи,1.44,4.75,7.0,26,3,1,2609,307,2302,69,31,14,12,1,0,661,304,46,38,30,6,11,14,42,42,14,9,11,13,6,3,14,7,105,106,15,11,8,3,12,6,3,5,13,19,604,230,3-4-2-1,6.92,4-2-3-1,6.85,5.17,27.18,,
182,Лион,Страсбург,Джереми Стинат,1.5699999999999998,4.2,5.75,26,1,2,2463,229,2234,72,28,10,16,1,3,691,274,58,45,42,3,19,11,63,54,16,18,22,22,14,2,14,19,162,133,28,8,7,6,19,5,9,3,3,42,599,191,3-4-1-2,6.91,5-3-2,6.79,5.17,23.31,,
183,Лилль,Труа,Пьер Гайюст,1.45,4.333333333333334,7.5,17,5,1,2120,332,1788,67,33,12,5,1,0,665,320,55,38,15,12,15,16,32,39,5,6,12,15,7,2,8,7,89,82,23,10,13,2,17,5,6,5,7,16,612,275,4-4-2,6.87,4-2-3-1,6.76,12.68,23.37,,
184,Анже,Клермон,Матье Вернис,2.38,3.4,3.0,26,1,2,842,799,43,59,41,15,11,2,2,614,438,42,47,24,11,30,21,54,56,9,9,17,21,3,1,14,15,144,122,5,10,1,6,3,6,2,4,10,17,540,363,4-2-3-1,6.66,3-4-2-1,6.81,10.89,15.25,,
185,Монпелье,Нант,Томас Леонард,2.55,3.3,2.8,27,0,3,917,1248,-331,47,53,13,14,1,2,366,418,49,48,18,28,13,11,53,56,21,24,13,15,3,5,3,11,148,144,11,12,5,7,9,5,2,7,25,17,277,334,4-2-3-1,6.72,5-3-2,6.82,12.47,7.89,,
186,Реймс,Ницца,Франсуа Летексье,2.5,3.2,2.88,11,0,0,1289,742,547,51,49,6,5,1,1,519,519,46,65,19,11,20,24,47,46,7,6,29,28,5,3,7,14,162,150,13,6,2,4,8,4,5,2,5,18,432,432,4-2-3-1,6.8,4-3-3,6.87,14.09,12.43,,
187,Тулуза,Брест,Бенуа Милло,1.85,3.6,4.2,29,1,1,1844,814,1030,64,36,17,12,2,2,544,310,49,65,28,18,17,19,48,70,11,29,14,14,10,5,15,21,137,129,16,17,7,5,12,7,4,10,15,24,461,228,4-3-3,6.84,4-1-4-1,6.74,6.07,17.5,,
188,Монако,Аяччо,Рудди Буке,1.4,4.75,8.0,22,7,1,1890,323,1567,66,34,8,14,1,2,635,329,58,46,19,7,14,15,51,42,11,12,21,16,3,3,11,12,139,124,11,5,8,2,10,4,1,1,3,21,545,248,4-2-2-2,6.88,5-4-1,6.71,7.88,20.0,,
189,Ренн,ПСЖ,Бенуа Бастьен,5.25,4.2,1.6,25,1,0,804,1149,-345,35,65,8,17,0,0,364,666,42,37,10,14,17,15,50,36,10,5,17,16,4,5,10,6,101,108,8,8,6,1,4,5,4,3,25,11,305,600,3-4-3,6.89,3-4-2-1,7.09,21.89,8.6,,
190,Лорьян,Ренн,Бенуа Милло,4.0,3.5,1.95,10,2,1,339,2348,-2009,33,67,4,6,1,1,342,668,42,38,4,42,17,29,53,52,15,15,26,19,2,10,9,8,124,154,4,19,4,6,3,8,1,11,45,8,263,590,4-2-3-1,6.84,5-4-1,6.89,23.0,10.42,,
191,Труа,Ленс,Клемент Терпин,5.75,4.0,1.6,19,1,1,125,2882,-2757,27,73,12,7,2,1,244,650,60,35,7,47,15,13,40,58,9,17,20,22,3,11,8,5,131,152,6,21,1,4,4,16,2,5,40,6,151,575,3-4-2-1,6.75,3-4-3,6.96,25.91,5.68,,
192,Марсель,Монако,Джереми Пиньяр,1.95,3.75,3.6,16,1,1,1903,643,1260,61,39,7,9,2,2,589,373,58,67,21,14,22,10,64,51,20,14,23,28,6,3,14,13,172,161,22,11,6,4,14,8,8,3,8,28,476,265,3-4-3,6.93,4-2-2-2,6.9,7.18,9.13,,
193,Ницца,Лилль,Эрик Ваттелье,3.25,3.2,2.3,23,1,0,941,1245,-304,44,56,12,11,3,2,443,562,61,46,16,13,16,17,55,47,12,8,22,16,5,7,11,10,115,125,12,16,6,7,6,10,6,6,18,21,369,481,4-3-3,6.88,4-2-3-1,6.88,17.67,11.39,,
194,Осер,Монпелье,Джереми Стинат,2.38,3.3,3.1,31,0,2,1833,699,1134,58,42,13,18,1,3,469,346,62,64,29,10,19,14,62,55,14,11,24,28,5,3,13,13,168,165,16,4,5,3,11,4,5,0,11,23,380,243,4-3-3,6.73,4-2-3-1,6.71,7.83,9.3,,
195,Клермон,Нант,Флоран Батта,2.4,3.1,3.25,32,0,0,1539,511,1028,59,41,9,23,2,1,548,378,65,38,24,15,14,17,51,44,9,12,13,15,9,1,6,20,137,114,9,4,0,0,6,0,3,4,4,30,469,310,3-4-2-1,6.81,4-5-1,6.84,15.6,10.61,,
196,Брест,Анже,Марк Болленджер,2.2,3.3,3.4,27,4,0,723,953,-230,41,59,10,17,0,2,383,556,52,45,15,21,11,10,50,39,11,10,17,16,4,5,14,18,129,134,9,8,7,1,8,7,1,1,13,7,304,471,4-1-4-1,6.76,4-4-2,6.66,19.22,7.18,,
197,Страсбург,Тулуза,Хаким Бен эль Салем Хадж,2.4,3.5,3.0,24,1,2,1061,831,230,54,46,14,10,1,1,556,476,77,69,17,5,20,13,49,68,16,28,17,25,4,2,13,9,183,170,11,8,2,3,5,7,6,1,9,18,438,352,3-5-2,6.79,4-3-3,6.85,10.12,14.5,,
198,Аяччо,Лион,Томас Леонард,4.5,3.5,1.83,40,0,2,1316,610,706,51,49,22,18,2,3,394,386,58,72,17,7,24,16,70,71,20,24,22,22,5,1,10,14,172,156,16,8,5,2,13,5,3,3,7,15,282,281,4-4-2,6.67,4-1-4-1,6.92,5.67,6.13,,
199,ПСЖ,Реймс,Рудди Буке,1.22,6.5,12.0,15,1,1,1097,901,196,59,41,5,10,2,1,713,466,53,35,5,24,23,12,33,40,6,2,10,31,3,3,8,15,123,104,12,17,4,4,9,11,3,6,16,9,638,411,4-2-3-1,7.07,4-5-1,6.81,18.07,14.9,,
200,Анже,Аяччо,Бастьен Дешепи,2.3,3.2,3.4,29,1,2,367,1540,-1173,39,61,18,11,1,2,296,451,53,70,7,29,28,13,59,64,19,20,17,20,2,6,11,15,151,161,6,9,2,4,3,8,3,1,18,15,200,353,4-4-2,6.65,4-4-2,6.68,11.13,5.63,,
201,Лилль,Клермон,Джереми Стинат,1.53,4.0,7.0,26,0,0,1818,495,1323,66,34,15,11,0,1,611,314,47,56,24,9,24,21,61,65,10,12,22,25,8,3,6,11,152,132,22,13,5,5,13,8,9,5,4,21,527,237,4-2-3-1,6.88,3-4-2-1,6.81,4.55,17.81,,
202,Нант,Марсель,Вилли Делайод,4.75,3.8,1.7,30,0,2,469,1323,-854,41,59,14,16,4,3,321,494,50,40,21,17,13,15,45,50,11,15,13,13,5,7,9,8,129,132,12,13,2,4,6,6,6,7,17,19,245,412,4-2-3-1,6.84,3-4-2-1,6.94,13.79,8.05,,
203,Реймс,Лорьян,Флоран Батта,1.75,3.75,4.5,18,4,2,2060,782,1278,58,42,11,7,1,0,561,404,37,53,21,14,17,22,48,47,14,7,17,15,5,7,6,6,110,127,31,12,9,5,18,8,13,4,11,20,505,324,4-2-3-1,6.82,4-2-3-1,6.84,10.17,30.0,,
204,Тулуза,Труа,Матье Вернис,1.65,4.2,4.75,26,4,1,1552,476,1076,56,44,12,14,2,3,549,448,62,38,19,3,3,18,35,41,6,15,14,5,8,0,11,9,98,108,13,11,6,3,11,6,2,5,4,11,482,368,4-3-3,6.85,3-5-2,6.74,10.48,29.75,,
205,Монако,Осер,Эрик Ваттелье,1.3,5.5,9.5,18,3,2,1364,1031,333,43,57,11,7,0,0,422,546,55,67,9,13,14,24,44,61,10,18,26,20,5,4,8,9,138,160,16,11,6,3,8,9,8,2,11,8,336,452,4-2-2-2,6.89,4-3-3,6.72,10.31,11.11,,
206,Ленс,Ницца,Томас Леонард,1.75,3.4,5.25,20,0,1,1160,870,290,55,45,12,8,0,2,518,425,45,59,19,9,22,11,40,52,7,13,15,23,5,3,13,11,141,133,9,14,4,6,3,9,6,5,12,21,437,345,3-4-3,6.96,5-4-1,6.89,11.22,11.32,,
207,Монпелье,ПСЖ,Джереми Пиньяр,8.5,6.0,1.3,21,1,3,300,2127,-1827,34,66,9,12,1,1,356,708,44,41,11,13,14,23,42,44,5,8,17,15,1,3,16,11,122,115,6,19,3,8,3,14,3,5,11,10,268,633,3-5-2,6.72,4-1-3-2,7.05,21.22,6.83,,
208,Лион,Брест,Рудди Буке,1.5,4.333333333333334,6.5,23,0,0,2796,184,2612,75,25,10,13,0,0,686,225,34,47,36,9,29,12,54,51,15,8,8,28,15,2,12,17,140,106,28,8,8,1,20,4,8,4,8,30,616,159,4-3-1-2,6.93,4-1-4-1,6.78,5.62,16.82,,
