Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
193,РБ Лейпциг,Э. Франкфурт,Феликс Брых,1.62,4.0,5.25,23,2,1,1151,878,273,54,46,11,12,2,3,587,499,58,43,6,13,25,23,59,54,12,11,18,21,2,6,8,15,156,162,10,7,5,4,10,5,0,2,13,12,480,398,4-2-2-2,6.9,3-4-2-1,6.83,14.76,8.88,,
194,Бремен,Бохум,Флориан Бадстабнер,1.91,3.8,3.8,32,3,0,1319,673,646,59,41,16,16,3,2,510,350,92,74,17,16,21,18,71,64,28,28,13,10,2,0,7,19,161,170,11,7,6,1,6,6,5,1,26,13,394,234,3-5-2,6.8,3-4-2-1,6.72,6.95,8.76,,
195,Шальке 04,Штутгарт,Дениз Айтекин,3.1,3.4,2.25,25,2,1,747,1954,-1207,34,66,12,13,2,2,269,520,66,46,15,30,28,16,54,61,11,20,17,19,6,9,8,8,144,160,12,17,6,5,9,9,3,8,29,11,178,422,4-2-3-1,6.7,4-3-3,6.81,14.1,4.63,,
196,Фрайбург,Леверкузен,Дэниел Зиберт,2.38,3.5,2.9,27,1,1,899,1248,-349,45,55,14,13,2,1,455,551,58,47,12,16,9,17,53,48,15,11,19,12,1,3,7,6,164,159,9,18,4,4,4,11,5,7,21,12,337,439,4-4-2,6.84,4-3-3,6.81,12.66,11.57,,
197,Бавария,Юнион Берлин,Марко Фриц,1.44,4.6,7.0,17,3,0,2630,161,2469,70,30,8,9,1,1,755,321,35,51,26,11,21,19,62,39,19,17,19,7,10,4,6,6,132,133,20,3,9,0,15,3,5,0,7,33,669,237,4-2-3-1,7.04,3-5-2,6.82,6.67,26.56,,
198,Дортмунд,РБ Лейпциг,Свен Яблонски,2.25,3.5,3.1,28,2,1,683,1875,-1192,38,62,8,20,2,5,388,626,61,41,15,19,20,22,66,44,17,9,21,17,4,6,15,5,126,128,8,17,3,6,5,14,3,3,20,15,305,545,4-1-4-1,6.95,4-2-2-2,6.9,20.12,6.76,,
199,Аугсбург,Бремен,Феликс Цвайер,2.2,3.5,3.1,19,2,1,483,2117,-1634,38,62,10,9,2,3,350,572,64,64,12,32,21,16,58,60,24,25,17,17,3,7,12,5,145,161,9,20,5,7,4,13,5,7,35,17,259,465,4-4-2,6.74,3-5-2,6.81,17.11,9.04,,
200,Бохум,Шальке 04,Феликс Брых,2.63,3.25,2.75,28,0,2,1122,690,432,63,37,17,11,2,1,406,231,76,74,20,21,9,25,65,64,21,27,30,12,4,4,6,6,169,179,7,10,4,4,5,6,2,4,21,19,296,136,4-3-3,6.71,4-3-3,6.7,3.0,11.39,,
201,Боруссия Мгладбах,Фрайбург,Бенджамин Брэнд,2.25,3.6,3.1,26,0,0,1077,1160,-83,53,47,11,15,5,2,481,434,45,61,12,16,11,8,52,49,21,18,12,17,6,5,10,8,122,131,9,8,4,3,8,3,1,5,28,16,404,341,4-2-3-1,6.87,3-5-2,6.83,15.33,13.87,,
202,Майнц 05,Хоффенхайм,Саша Стегеманн,1.91,3.6,4.0,27,1,0,1693,573,1120,47,53,12,15,1,4,359,426,69,62,28,11,17,20,64,70,25,24,15,21,11,3,9,4,177,157,16,15,6,3,11,8,5,7,12,39,257,313,3-4-2-1,6.82,3-4-2-1,6.76,7.88,6.0,,
