Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
33,Локомотив,Крылья Советов,Евгений Кукуляк,0,0,0,22,1,1,1534,796,738,62,38,13,9,3,3,465,278,40,53,21,16,19,11,40,48,13,12,10,17,7,5,6,13,136,118,20,14,8,7,11,13,9,1,12,24,387,199,4-2-3-1,6.62,4-4-2,6.78,6.0,11.86,,
34,Зенит,ЦСКА,Павел Кукуян,0,0,0,17,2,1,1991,338,1653,61,39,6,11,2,5,545,346,48,67,22,9,15,7,35,29,7,6,11,14,7,2,11,7,121,121,19,6,8,1,11,4,8,2,9,15,472,261,4-2-3-1,7.09,3-4-3,7.2,15.83,13.21,,
35,Динамо,Краснодар,Сергей Карасёв,0,0,0,18,0,0,660,1419,-759,36,64,12,6,3,3,346,634,53,80,10,11,6,20,35,51,9,6,15,20,4,3,7,13,126,135,11,15,4,2,6,5,5,10,10,13,264,546,4-3-3,7.0,4-3-3,6.84,19.22,8.52,,
36,Химки,Ахмат,Кирилл Левников,0,0,0,28,1,3,812,1114,-302,57,43,11,17,2,1,426,325,62,72,12,7,19,20,53,56,12,13,15,23,6,5,7,8,157,142,12,21,6,9,7,7,5,14,14,16,320,225,3-4-2-1,6.88,3-4-2-1,6.88,9.94,7.81,,
37,Оренбург,Торпедо,Артем Любимов,0,0,0,19,1,0,1856,430,1426,55,45,12,7,4,1,439,370,56,73,23,8,14,15,43,36,9,7,20,14,9,4,10,9,132,131,30,6,9,1,15,4,15,2,5,14,364,284,3-4-3,6.72,4-2-3-1,6.61,9.05,16.77,,
38,Пари НН,Ростов,Шадыханов Павел,0,0,0,23,3,4,1154,1237,-83,46,54,12,11,3,2,369,440,77,75,16,16,9,8,42,39,18,17,8,9,2,6,12,14,138,146,14,8,5,4,8,4,6,4,22,19,268,326,3-4-2-1,6.66,4-3-3,6.96,14.59,9.94,,
39,Спартак,Сочи,Виталий Мешков,0,0,0,18,3,0,1277,840,437,48,52,11,7,1,1,485,519,63,66,14,15,17,13,47,39,13,9,19,13,4,2,9,11,132,140,16,9,7,3,10,4,6,5,17,12,394,426,4-3-3,7.0,3-4-2-1,6.89,13.05,16.47,,
40,Крылья Советов,Факел,Евгений Андреевич Турбин,0,0,0,18,1,1,1583,883,700,53,47,6,12,0,3,430,386,61,67,21,18,20,7,50,46,19,20,10,17,9,7,8,6,145,138,16,8,6,5,11,4,5,4,17,18,326,291,4-4-2,6.81,3-4-1-2,6.74,15.77,10.46,,
41,Урал,Пари НН,Кирилл Левников,0,0,0,26,0,1,633,1682,-1049,48,52,17,9,5,1,402,432,65,59,14,25,11,7,35,40,12,14,9,7,2,8,12,11,125,145,10,15,3,4,7,10,3,5,22,6,308,332,4-2-3-1,6.73,3-4-2-1,6.67,12.41,14.19,,
42,Химки,Локомотив,Иван Сиденков,0,0,0,37,0,3,1504,821,683,61,39,23,14,5,2,455,309,57,59,27,7,27,9,50,61,8,8,17,22,6,2,14,22,150,132,18,9,4,6,6,6,12,3,16,16,369,220,3-4-2-1,6.85,4-2-3-1,6.68,5.2,9.71,,
43,Динамо,Спартак,Павел Кукуян,0,0,0,25,1,0,581,2027,-1446,32,68,13,12,5,1,257,535,72,59,10,34,13,13,49,46,11,13,22,14,5,14,14,11,140,159,11,18,1,5,8,8,3,10,38,10,162,440,4-3-3,6.98,4-3-3,7.06,17.8,4.92,,
44,Ростов,Сочи,Владислав Безбородов,0,0,0,22,2,2,1639,905,734,50,50,9,13,4,5,415,424,44,67,28,17,8,6,43,41,15,20,11,10,7,4,14,15,144,131,18,15,8,5,13,11,5,4,17,31,315,330,4-3-3,6.91,3-4-2-1,6.82,16.53,13.18,,
45,ЦСКА,Ахмат,Сергей Карасёв,0,0,0,22,4,2,1904,500,1404,57,43,5,17,2,1,369,288,78,60,18,13,19,6,50,28,11,9,12,12,10,2,5,21,146,121,19,11,8,4,12,9,7,2,6,21,269,217,3-4-3,7.08,3-4-2-1,6.91,17.78,6.35,,
46,Зенит,Торпедо,Алексей Васильевич Сухой,0,0,0,16,2,0,3914,4,3910,74,26,6,10,0,2,606,223,29,69,37,4,11,6,31,25,7,10,6,6,12,0,10,14,102,118,38,1,10,0,25,0,13,1,5,20,552,133,4-2-3-1,7.07,4-3-3,6.62,5.26,65.0,,
